project,article,granularity,timestamp,access,agent,views,gender
en.wikipedia,Alice_Blanche_Balfour,monthly,2021-05-01,all-access,all-agents,172,female
en.wikipedia,Alice_Blanche_Balfour,monthly,2021-06-01,all-access,all-agents,133,female
en.wikipedia,Alice_Blanche_Balfour,monthly,2021-07-01,all-access,all-agents,140,female
en.wikipedia,Alice_Blanche_Balfour,monthly,2021-08-01,all-access,all-agents,109,female
en.wikipedia,Alice_Blanche_Balfour,monthly,2021-09-01,all-access,all-agents,134,female
en.wikipedia,Alice_Blanche_Balfour,monthly,2021-10-01,all-access,all-agents,149,female
en.wikipedia,Alice_Blanche_Balfour,monthly,2021-11-01,all-access,all-agents,116,female
en.wikipedia,Alice_Blanche_Balfour,monthly,2021-12-01,all-access,all-agents,119,female
en.wikipedia,Alice_Blanche_Balfour,monthly,2022-01-01,all-access,all-agents,149,female
en.wikipedia,Alice_Blanche_Balfour,monthly,2022-02-01,all-access,all-agents,160,female
en.wikipedia,Alice_Blanche_Balfour,monthly,2022-03-01,all-access,all-agents,179,female
en.wikipedia,Alice_Blanche_Balfour,monthly,2022-04-01,all-access,all-agents,149,female
en.wikipedia,Alice_Blanche_Balfour,monthly,2022-05-01,all-access,all-agents,182,female
en.wikipedia,Alice_Blanche_Balfour,monthly,2022-06-01,all-access,all-agents,134,female
en.wikipedia,Alice_Blanche_Balfour,monthly,2022-07-01,all-access,all-agents,163,female
en.wikipedia,Alice_Blanche_Balfour,monthly,2022-08-01,all-access,all-agents,154,female
en.wikipedia,Alice_Blanche_Balfour,monthly,2022-09-01,all-access,all-agents,141,female
en.wikipedia,Alice_Blanche_Balfour,monthly,2022-10-01,all-access,all-agents,287,female
en.wikipedia,Alice_Blanche_Balfour,monthly,2022-11-01,all-access,all-agents,198,female
en.wikipedia,Alice_Blanche_Balfour,monthly,2022-12-01,all-access,all-agents,152,female
en.wikipedia,Sarah_Sophia_Banks,monthly,2020-01-01,all-access,all-agents,768,female
en.wikipedia,Sarah_Sophia_Banks,monthly,2020-02-01,all-access,all-agents,684,female
en.wikipedia,Sarah_Sophia_Banks,monthly,2020-03-01,all-access,all-agents,583,female
en.wikipedia,Sarah_Sophia_Banks,monthly,2020-04-01,all-access,all-agents,879,female
en.wikipedia,Sarah_Sophia_Banks,monthly,2020-05-01,all-access,all-agents,617,female
en.wikipedia,Sarah_Sophia_Banks,monthly,2020-06-01,all-access,all-agents,489,female
en.wikipedia,Sarah_Sophia_Banks,monthly,2020-07-01,all-access,all-agents,463,female
en.wikipedia,Sarah_Sophia_Banks,monthly,2020-08-01,all-access,all-agents,454,female
en.wikipedia,Sarah_Sophia_Banks,monthly,2020-09-01,all-access,all-agents,635,female
en.wikipedia,Sarah_Sophia_Banks,monthly,2020-10-01,all-access,all-agents,494,female
en.wikipedia,Sarah_Sophia_Banks,monthly,2020-11-01,all-access,all-agents,414,female
en.wikipedia,Sarah_Sophia_Banks,monthly,2020-12-01,all-access,all-agents,419,female
en.wikipedia,Sarah_Sophia_Banks,monthly,2021-01-01,all-access,all-agents,532,female
en.wikipedia,Sarah_Sophia_Banks,monthly,2021-02-01,all-access,all-agents,453,female
en.wikipedia,Sarah_Sophia_Banks,monthly,2021-03-01,all-access,all-agents,469,female
en.wikipedia,Sarah_Sophia_Banks,monthly,2021-04-01,all-access,all-agents,355,female
en.wikipedia,Sarah_Sophia_Banks,monthly,2021-05-01,all-access,all-agents,354,female
en.wikipedia,Sarah_Sophia_Banks,monthly,2021-06-01,all-access,all-agents,344,female
en.wikipedia,Sarah_Sophia_Banks,monthly,2021-07-01,all-access,all-agents,312,female
en.wikipedia,Sarah_Sophia_Banks,monthly,2021-08-01,all-access,all-agents,328,female
en.wikipedia,Sarah_Sophia_Banks,monthly,2021-09-01,all-access,all-agents,683,female
en.wikipedia,Sarah_Sophia_Banks,monthly,2021-10-01,all-access,all-agents,492,female
en.wikipedia,Sarah_Sophia_Banks,monthly,2021-11-01,all-access,all-agents,249,female
en.wikipedia,Sarah_Sophia_Banks,monthly,2021-12-01,all-access,all-agents,262,female
en.wikipedia,Sarah_Sophia_Banks,monthly,2022-01-01,all-access,all-agents,327,female
en.wikipedia,Sarah_Sophia_Banks,monthly,2022-02-01,all-access,all-agents,293,female
en.wikipedia,Sarah_Sophia_Banks,monthly,2022-03-01,all-access,all-agents,243,female
en.wikipedia,Sarah_Sophia_Banks,monthly,2022-04-01,all-access,all-agents,260,female
en.wikipedia,Sarah_Sophia_Banks,monthly,2022-05-01,all-access,all-agents,400,female
en.wikipedia,Sarah_Sophia_Banks,monthly,2022-06-01,all-access,all-agents,340,female
en.wikipedia,Sarah_Sophia_Banks,monthly,2022-07-01,all-access,all-agents,378,female
en.wikipedia,Sarah_Sophia_Banks,monthly,2022-08-01,all-access,all-agents,391,female
en.wikipedia,Sarah_Sophia_Banks,monthly,2022-09-01,all-access,all-agents,330,female
en.wikipedia,Sarah_Sophia_Banks,monthly,2022-10-01,all-access,all-agents,349,female
en.wikipedia,Sarah_Sophia_Banks,monthly,2022-11-01,all-access,all-agents,322,female
en.wikipedia,Sarah_Sophia_Banks,monthly,2022-12-01,all-access,all-agents,257,female
en.wikipedia,Mary_Elizabeth_Barber,monthly,2020-01-01,all-access,all-agents,229,female
en.wikipedia,Mary_Elizabeth_Barber,monthly,2020-02-01,all-access,all-agents,210,female
en.wikipedia,Mary_Elizabeth_Barber,monthly,2020-03-01,all-access,all-agents,198,female
en.wikipedia,Mary_Elizabeth_Barber,monthly,2020-04-01,all-access,all-agents,220,female
en.wikipedia,Mary_Elizabeth_Barber,monthly,2020-05-01,all-access,all-agents,164,female
en.wikipedia,Mary_Elizabeth_Barber,monthly,2020-06-01,all-access,all-agents,185,female
en.wikipedia,Mary_Elizabeth_Barber,monthly,2020-07-01,all-access,all-agents,166,female
en.wikipedia,Mary_Elizabeth_Barber,monthly,2020-08-01,all-access,all-agents,166,female
en.wikipedia,Mary_Elizabeth_Barber,monthly,2020-09-01,all-access,all-agents,191,female
en.wikipedia,Mary_Elizabeth_Barber,monthly,2020-10-01,all-access,all-agents,151,female
en.wikipedia,Mary_Elizabeth_Barber,monthly,2020-11-01,all-access,all-agents,179,female
en.wikipedia,Mary_Elizabeth_Barber,monthly,2020-12-01,all-access,all-agents,172,female
en.wikipedia,Mary_Elizabeth_Barber,monthly,2021-01-01,all-access,all-agents,194,female
en.wikipedia,Mary_Elizabeth_Barber,monthly,2021-02-01,all-access,all-agents,312,female
en.wikipedia,Mary_Elizabeth_Barber,monthly,2021-03-01,all-access,all-agents,217,female
en.wikipedia,Mary_Elizabeth_Barber,monthly,2021-04-01,all-access,all-agents,176,female
en.wikipedia,Mary_Elizabeth_Barber,monthly,2021-05-01,all-access,all-agents,226,female
en.wikipedia,Mary_Elizabeth_Barber,monthly,2021-06-01,all-access,all-agents,190,female
en.wikipedia,Mary_Elizabeth_Barber,monthly,2021-07-01,all-access,all-agents,146,female
en.wikipedia,Mary_Elizabeth_Barber,monthly,2021-08-01,all-access,all-agents,157,female
en.wikipedia,Mary_Elizabeth_Barber,monthly,2021-09-01,all-access,all-agents,177,female
en.wikipedia,Mary_Elizabeth_Barber,monthly,2021-10-01,all-access,all-agents,186,female
en.wikipedia,Mary_Elizabeth_Barber,monthly,2021-11-01,all-access,all-agents,141,female
en.wikipedia,Mary_Elizabeth_Barber,monthly,2021-12-01,all-access,all-agents,123,female
en.wikipedia,Mary_Elizabeth_Barber,monthly,2022-01-01,all-access,all-agents,235,female
en.wikipedia,Mary_Elizabeth_Barber,monthly,2022-02-01,all-access,all-agents,185,female
en.wikipedia,Mary_Elizabeth_Barber,monthly,2022-03-01,all-access,all-agents,191,female
en.wikipedia,Mary_Elizabeth_Barber,monthly,2022-04-01,all-access,all-agents,156,female
en.wikipedia,Mary_Elizabeth_Barber,monthly,2022-05-01,all-access,all-agents,175,female
en.wikipedia,Mary_Elizabeth_Barber,monthly,2022-06-01,all-access,all-agents,146,female
en.wikipedia,Mary_Elizabeth_Barber,monthly,2022-07-01,all-access,all-agents,140,female
en.wikipedia,Mary_Elizabeth_Barber,monthly,2022-08-01,all-access,all-agents,183,female
en.wikipedia,Mary_Elizabeth_Barber,monthly,2022-09-01,all-access,all-agents,155,female
en.wikipedia,Mary_Elizabeth_Barber,monthly,2022-10-01,all-access,all-agents,181,female
en.wikipedia,Mary_Elizabeth_Barber,monthly,2022-11-01,all-access,all-agents,180,female
en.wikipedia,Mary_Elizabeth_Barber,monthly,2022-12-01,all-access,all-agents,126,female
en.wikipedia,Etheldred_Benett,monthly,2020-01-01,all-access,all-agents,263,female
en.wikipedia,Etheldred_Benett,monthly,2020-02-01,all-access,all-agents,284,female
en.wikipedia,Etheldred_Benett,monthly,2020-03-01,all-access,all-agents,270,female
en.wikipedia,Etheldred_Benett,monthly,2020-04-01,all-access,all-agents,360,female
en.wikipedia,Etheldred_Benett,monthly,2020-05-01,all-access,all-agents,322,female
en.wikipedia,Etheldred_Benett,monthly,2020-06-01,all-access,all-agents,287,female
en.wikipedia,Etheldred_Benett,monthly,2020-07-01,all-access,all-agents,325,female
en.wikipedia,Etheldred_Benett,monthly,2020-08-01,all-access,all-agents,1088,female
en.wikipedia,Etheldred_Benett,monthly,2020-09-01,all-access,all-agents,428,female
en.wikipedia,Etheldred_Benett,monthly,2020-10-01,all-access,all-agents,381,female
en.wikipedia,Etheldred_Benett,monthly,2020-11-01,all-access,all-agents,293,female
en.wikipedia,Etheldred_Benett,monthly,2020-12-01,all-access,all-agents,273,female
en.wikipedia,Etheldred_Benett,monthly,2021-01-01,all-access,all-agents,338,female
en.wikipedia,Etheldred_Benett,monthly,2021-02-01,all-access,all-agents,299,female
en.wikipedia,Etheldred_Benett,monthly,2021-03-01,all-access,all-agents,485,female
en.wikipedia,Etheldred_Benett,monthly,2021-04-01,all-access,all-agents,683,female
en.wikipedia,Etheldred_Benett,monthly,2021-05-01,all-access,all-agents,318,female
en.wikipedia,Etheldred_Benett,monthly,2021-06-01,all-access,all-agents,317,female
en.wikipedia,Etheldred_Benett,monthly,2021-07-01,all-access,all-agents,274,female
en.wikipedia,Etheldred_Benett,monthly,2021-08-01,all-access,all-agents,277,female
en.wikipedia,Etheldred_Benett,monthly,2021-09-01,all-access,all-agents,287,female
en.wikipedia,Etheldred_Benett,monthly,2021-10-01,all-access,all-agents,273,female
en.wikipedia,Etheldred_Benett,monthly,2021-11-01,all-access,all-agents,273,female
en.wikipedia,Etheldred_Benett,monthly,2021-12-01,all-access,all-agents,221,female
en.wikipedia,Etheldred_Benett,monthly,2022-01-01,all-access,all-agents,340,female
en.wikipedia,Etheldred_Benett,monthly,2022-02-01,all-access,all-agents,334,female
en.wikipedia,Etheldred_Benett,monthly,2022-03-01,all-access,all-agents,343,female
en.wikipedia,Etheldred_Benett,monthly,2022-04-01,all-access,all-agents,268,female
en.wikipedia,Etheldred_Benett,monthly,2022-05-01,all-access,all-agents,324,female
en.wikipedia,Etheldred_Benett,monthly,2022-06-01,all-access,all-agents,296,female
en.wikipedia,Etheldred_Benett,monthly,2022-07-01,all-access,all-agents,267,female
en.wikipedia,Etheldred_Benett,monthly,2022-08-01,all-access,all-agents,268,female
en.wikipedia,Etheldred_Benett,monthly,2022-09-01,all-access,all-agents,337,female
en.wikipedia,Etheldred_Benett,monthly,2022-10-01,all-access,all-agents,291,female
en.wikipedia,Etheldred_Benett,monthly,2022-11-01,all-access,all-agents,461,female
en.wikipedia,Etheldred_Benett,monthly,2022-12-01,all-access,all-agents,301,female
en.wikipedia,Margaret_Jane_Benson,monthly,2020-01-01,all-access,all-agents,215,female
en.wikipedia,Margaret_Jane_Benson,monthly,2020-02-01,all-access,all-agents,136,female
en.wikipedia,Margaret_Jane_Benson,monthly,2020-03-01,all-access,all-agents,121,female
en.wikipedia,Margaret_Jane_Benson,monthly,2020-04-01,all-access,all-agents,133,female
en.wikipedia,Margaret_Jane_Benson,monthly,2020-05-01,all-access,all-agents,109,female
en.wikipedia,Margaret_Jane_Benson,monthly,2020-06-01,all-access,all-agents,137,female
en.wikipedia,Margaret_Jane_Benson,monthly,2020-07-01,all-access,all-agents,146,female
en.wikipedia,Margaret_Jane_Benson,monthly,2020-08-01,all-access,all-agents,109,female
en.wikipedia,Margaret_Jane_Benson,monthly,2020-09-01,all-access,all-agents,164,female
en.wikipedia,Margaret_Jane_Benson,monthly,2020-10-01,all-access,all-agents,108,female
en.wikipedia,Margaret_Jane_Benson,monthly,2020-11-01,all-access,all-agents,104,female
en.wikipedia,Margaret_Jane_Benson,monthly,2020-12-01,all-access,all-agents,124,female
en.wikipedia,Margaret_Jane_Benson,monthly,2021-01-01,all-access,all-agents,149,female
en.wikipedia,Margaret_Jane_Benson,monthly,2021-02-01,all-access,all-agents,107,female
en.wikipedia,Margaret_Jane_Benson,monthly,2021-03-01,all-access,all-agents,151,female
en.wikipedia,Margaret_Jane_Benson,monthly,2021-04-01,all-access,all-agents,119,female
en.wikipedia,Margaret_Jane_Benson,monthly,2021-05-01,all-access,all-agents,186,female
en.wikipedia,Margaret_Jane_Benson,monthly,2021-06-01,all-access,all-agents,114,female
en.wikipedia,Margaret_Jane_Benson,monthly,2021-07-01,all-access,all-agents,125,female
en.wikipedia,Margaret_Jane_Benson,monthly,2021-08-01,all-access,all-agents,128,female
en.wikipedia,Margaret_Jane_Benson,monthly,2021-09-01,all-access,all-agents,111,female
en.wikipedia,Margaret_Jane_Benson,monthly,2021-10-01,all-access,all-agents,120,female
en.wikipedia,Margaret_Jane_Benson,monthly,2021-11-01,all-access,all-agents,115,female
en.wikipedia,Margaret_Jane_Benson,monthly,2021-12-01,all-access,all-agents,91,female
en.wikipedia,Margaret_Jane_Benson,monthly,2022-01-01,all-access,all-agents,104,female
en.wikipedia,Margaret_Jane_Benson,monthly,2022-02-01,all-access,all-agents,97,female
