project,article,granularity,timestamp,access,agent,views
en.wikipedia,Mary_Elizabeth_Barber,monthly,2020-01-01,all-access,all-agents,229
en.wikipedia,Mary_Elizabeth_Barber,monthly,2020-02-01,all-access,all-agents,210
en.wikipedia,Mary_Elizabeth_Barber,monthly,2020-03-01,all-access,all-agents,198
en.wikipedia,Mary_Elizabeth_Barber,monthly,2020-04-01,all-access,all-agents,220
en.wikipedia,Mary_Elizabeth_Barber,monthly,2020-05-01,all-access,all-agents,164
en.wikipedia,Mary_Elizabeth_Barber,monthly,2020-06-01,all-access,all-agents,185
en.wikipedia,Mary_Elizabeth_Barber,monthly,2020-07-01,all-access,all-agents,166
en.wikipedia,Mary_Elizabeth_Barber,monthly,2020-08-01,all-access,all-agents,166
en.wikipedia,Mary_Elizabeth_Barber,monthly,2020-09-01,all-access,all-agents,191
en.wikipedia,Mary_Elizabeth_Barber,monthly,2020-10-01,all-access,all-agents,151
en.wikipedia,Mary_Elizabeth_Barber,monthly,2020-11-01,all-access,all-agents,179
en.wikipedia,Mary_Elizabeth_Barber,monthly,2020-12-01,all-access,all-agents,172
en.wikipedia,Mary_Elizabeth_Barber,monthly,2021-01-01,all-access,all-agents,194
en.wikipedia,Mary_Elizabeth_Barber,monthly,2021-02-01,all-access,all-agents,312
en.wikipedia,Mary_Elizabeth_Barber,monthly,2021-03-01,all-access,all-agents,217
en.wikipedia,Mary_Elizabeth_Barber,monthly,2021-04-01,all-access,all-agents,176
en.wikipedia,Mary_Elizabeth_Barber,monthly,2021-05-01,all-access,all-agents,226
en.wikipedia,Mary_Elizabeth_Barber,monthly,2021-06-01,all-access,all-agents,190
en.wikipedia,Mary_Elizabeth_Barber,monthly,2021-07-01,all-access,all-agents,146
en.wikipedia,Mary_Elizabeth_Barber,monthly,2021-08-01,all-access,all-agents,157
en.wikipedia,Mary_Elizabeth_Barber,monthly,2021-09-01,all-access,all-agents,177
en.wikipedia,Mary_Elizabeth_Barber,monthly,2021-10-01,all-access,all-agents,186
en.wikipedia,Mary_Elizabeth_Barber,monthly,2021-11-01,all-access,all-agents,141
en.wikipedia,Mary_Elizabeth_Barber,monthly,2021-12-01,all-access,all-agents,123
en.wikipedia,Mary_Elizabeth_Barber,monthly,2022-01-01,all-access,all-agents,235
en.wikipedia,Mary_Elizabeth_Barber,monthly,2022-02-01,all-access,all-agents,185
en.wikipedia,Mary_Elizabeth_Barber,monthly,2022-03-01,all-access,all-agents,191
en.wikipedia,Mary_Elizabeth_Barber,monthly,2022-04-01,all-access,all-agents,156
en.wikipedia,Mary_Elizabeth_Barber,monthly,2022-05-01,all-access,all-agents,175
en.wikipedia,Mary_Elizabeth_Barber,monthly,2022-06-01,all-access,all-agents,146
en.wikipedia,Mary_Elizabeth_Barber,monthly,2022-07-01,all-access,all-agents,140
en.wikipedia,Mary_Elizabeth_Barber,monthly,2022-08-01,all-access,all-agents,183
en.wikipedia,Mary_Elizabeth_Barber,monthly,2022-09-01,all-access,all-agents,155
en.wikipedia,Mary_Elizabeth_Barber,monthly,2022-10-01,all-access,all-agents,181
en.wikipedia,Mary_Elizabeth_Barber,monthly,2022-11-01,all-access,all-agents,180
en.wikipedia,Mary_Elizabeth_Barber,monthly,2022-12-01,all-access,all-agents,126
en.wikipedia,Etheldred_Benett,monthly,2020-01-01,all-access,all-agents,263
en.wikipedia,Etheldred_Benett,monthly,2020-02-01,all-access,all-agents,284
en.wikipedia,Etheldred_Benett,monthly,2020-03-01,all-access,all-agents,270
en.wikipedia,Etheldred_Benett,monthly,2020-04-01,all-access,all-agents,360
en.wikipedia,Etheldred_Benett,monthly,2020-05-01,all-access,all-agents,322
en.wikipedia,Etheldred_Benett,monthly,2020-06-01,all-access,all-agents,287
en.wikipedia,Etheldred_Benett,monthly,2020-07-01,all-access,all-agents,325
en.wikipedia,Etheldred_Benett,monthly,2020-08-01,all-access,all-agents,1088
en.wikipedia,Etheldred_Benett,monthly,2020-09-01,all-access,all-agents,428
en.wikipedia,Etheldred_Benett,monthly,2020-10-01,all-access,all-agents,381
en.wikipedia,Etheldred_Benett,monthly,2020-11-01,all-access,all-agents,293
en.wikipedia,Etheldred_Benett,monthly,2020-12-01,all-access,all-agents,273
en.wikipedia,Etheldred_Benett,monthly,2021-01-01,all-access,all-agents,338
en.wikipedia,Etheldred_Benett,monthly,2021-02-01,all-access,all-agents,299
en.wikipedia,Etheldred_Benett,monthly,2021-03-01,all-access,all-agents,485
en.wikipedia,Etheldred_Benett,monthly,2021-04-01,all-access,all-agents,683
en.wikipedia,Etheldred_Benett,monthly,2021-05-01,all-access,all-agents,318
en.wikipedia,Etheldred_Benett,monthly,2021-06-01,all-access,all-agents,317
en.wikipedia,Etheldred_Benett,monthly,2021-07-01,all-access,all-agents,274
en.wikipedia,Etheldred_Benett,monthly,2021-08-01,all-access,all-agents,277
en.wikipedia,Etheldred_Benett,monthly,2021-09-01,all-access,all-agents,287
en.wikipedia,Etheldred_Benett,monthly,2021-10-01,all-access,all-agents,273
en.wikipedia,Etheldred_Benett,monthly,2021-11-01,all-access,all-agents,273
en.wikipedia,Etheldred_Benett,monthly,2021-12-01,all-access,all-agents,221
en.wikipedia,Etheldred_Benett,monthly,2022-01-01,all-access,all-agents,340
en.wikipedia,Etheldred_Benett,monthly,2022-02-01,all-access,all-agents,334
en.wikipedia,Etheldred_Benett,monthly,2022-03-01,all-access,all-agents,343
en.wikipedia,Etheldred_Benett,monthly,2022-04-01,all-access,all-agents,268
en.wikipedia,Etheldred_Benett,monthly,2022-05-01,all-access,all-agents,324
en.wikipedia,Etheldred_Benett,monthly,2022-06-01,all-access,all-agents,296
en.wikipedia,Etheldred_Benett,monthly,2022-07-01,all-access,all-agents,267
en.wikipedia,Etheldred_Benett,monthly,2022-08-01,all-access,all-agents,268
en.wikipedia,Etheldred_Benett,monthly,2022-09-01,all-access,all-agents,337
en.wikipedia,Etheldred_Benett,monthly,2022-10-01,all-access,all-agents,291
en.wikipedia,Etheldred_Benett,monthly,2022-11-01,all-access,all-agents,461
en.wikipedia,Etheldred_Benett,monthly,2022-12-01,all-access,all-agents,301
en.wikipedia,Margaret_Jane_Benson,monthly,2020-01-01,all-access,all-agents,215
en.wikipedia,Margaret_Jane_Benson,monthly,2020-02-01,all-access,all-agents,136
en.wikipedia,Margaret_Jane_Benson,monthly,2020-03-01,all-access,all-agents,121
en.wikipedia,Margaret_Jane_Benson,monthly,2020-04-01,all-access,all-agents,133
en.wikipedia,Margaret_Jane_Benson,monthly,2020-05-01,all-access,all-agents,109
en.wikipedia,Margaret_Jane_Benson,monthly,2020-06-01,all-access,all-agents,137
en.wikipedia,Margaret_Jane_Benson,monthly,2020-07-01,all-access,all-agents,146
